,ll,Bluewidth,Redwidth,Maxratio,fmin,fmin_sp,Blueratio,Redratio,Fullratio,Element,ionisation,Teff,logg,FeH,Resolution,min_snr_res,min_snr_AA
98,5382.5,5382.2,5382.9,0.98,0.756,0.754,0.98,0.966,0.973,Fe,1,5750.0,4.5,0.0,20000,18,35
99,5383.4,5383.0,5383.8,0.987,0.438,0.437,0.98,0.987,0.984,Fe,1,5750.0,4.5,0.0,20000,8,15
100,5386.3,5386.1,5386.6,0.941,0.856,0.85,0.941,0.929,0.935,Fe,1,5750.0,4.5,0.0,20000,31,60
101,5387.5,5387.3,5387.7,0.73,0.916,0.866,0.73,0.466,0.569,Fe,1,5750.0,4.5,0.0,20000,53,103
102,5389.5,5389.1,5389.8,0.959,0.671,0.669,0.896,0.959,0.927,Fe,1,5750.0,4.5,0.0,20000,13,26
103,5391.5,5391.1,5391.9,0.944,0.711,0.69,0.826,0.944,0.881,Fe,1,5750.0,4.5,0.0,20000,15,29
104,5393.2,5392.8,5393.6,0.984,0.513,0.51,0.984,0.933,0.958,Fe,1,5750.0,4.5,0.0,20000,9,17
105,5397.1,5396.7,5397.5,0.987,0.367,0.364,0.979,0.987,0.983,Fe,1,5750.0,4.5,0.0,20000,7,13
106,5398.3,5397.9,5398.6,0.943,0.713,0.701,0.892,0.943,0.915,Fe,1,5750.0,4.5,0.0,20000,15,30
107,5400.5,5400.1,5400.9,0.941,0.593,0.542,0.941,0.819,0.871,Fe,1,5750.0,4.5,0.0,20000,11,21
108,5401.3,5401.0,5401.5,0.913,0.905,0.894,0.913,0.8,0.853,Fe,1,5750.0,4.5,0.0,20000,47,91
109,5403.4,5403.1,5403.8,0.967,0.926,0.924,0.967,0.946,0.95,Fe,1,5750.0,4.5,0.0,20000,60,116
110,5404.2,5403.7,5404.6,0.993,0.401,0.397,0.98,0.993,0.985,Fe,1,5750.0,4.5,0.0,20000,7,14
111,5405.8,5405.4,5406.2,0.998,0.362,0.361,0.998,0.974,0.986,Fe,1,5750.0,4.5,0.0,20000,7,13
112,5406.3,5405.9,5406.7,0.929,0.869,0.856,0.929,0.872,0.91,Fe,1,5750.0,4.5,0.0,20000,34,66
113,5406.8,5406.4,5407.0,0.908,0.876,0.87,0.88,0.908,0.889,Fe,1,5750.0,4.5,0.0,20000,36,69
114,5409.1,5408.9,5409.4,0.868,0.804,0.787,0.868,0.823,0.845,Fe,1,5750.0,4.5,0.0,20000,22,44
115,5410.9,5410.5,5411.3,0.976,0.512,0.51,0.976,0.834,0.899,Fe,1,5750.0,4.5,0.0,20000,9,17
116,5412.8,5412.6,5413.0,0.877,0.907,0.9,0.828,0.877,0.852,Fe,1,5750.0,4.5,0.0,20000,48,93
265,5414.1,5413.9,5414.3,0.815,0.89,0.875,0.772,0.815,0.793,Fe,2,5750.0,4.5,0.0,20000,40,78
117,5415.2,5414.8,5415.6,0.991,0.448,0.447,0.991,0.991,0.991,Fe,1,5750.0,4.5,0.0,20000,8,15
