spectraname,teff,logg,doppler_shift,feh,vmic,vsini,vmac,C_Fe,O_Fe,Ba_Fe,Ca_Fe,Co_Fe,Eu_Fe,Mg_Fe,Mn_Fe,Sr_Fe,Ti_Fe,Y_Fe
11930.spec_hrs_snr1000.0.npy,6.7594,4.33226,-0.00082,-1.51903,1.75182,1.80716,0,-1.0,-0.49999,-0.63776,0.40536,0.02287,-0.17989,0.53285,-1.0,0.69534,0.11433,-0.03584
8116.spec_hrs_snr1000.0.npy,4.96948,0.8782,-0.04773,-3.20332,1.53792,2.11001,0,0.03254,-0.32321,0.27069,0.6029,0.77963,-1.49999,0.19035,-0.67889,-0.9197,0.03263,-0.69317
7160.spec_hrs_snr1000.0.npy,5.69795,3.31277,-0.09976,-4.0,0.50001,31.85176,0,1.77182,-0.48407,1.0,0.12803,-0.3,-1.5,-0.49996,-0.78313,-0.12426,-0.34679,-0.35383
2703.spec_hrs_snr1000.0.npy,6.97228,2.54915,0.03053,-2.32148,1.45653,2.74553,0,0.54841,0.88908,-0.83401,0.32357,0.3445,0.98694,-0.10296,0.2164,0.82102,-0.16607,-0.04067
15777.spec_hrs_snr1000.0.npy,4.46651,2.69379,0.03148,0.46135,1.4481,15.94988,0,0.22917,0.60784,-1.03208,-0.06665,0.50681,1.48224,0.60712,0.11076,0.8794,0.80329,-0.12135
13313.spec_hrs_snr1000.0.npy,7.70832,4.49318,-0.09331,-0.04586,0.58942,68.72656,0,0.85563,1.25,-1.51582,-0.15346,0.19623,1.40817,0.06244,-0.17159,0.5231,0.24962,-0.07374
5344.spec_hrs_snr1000.0.npy,4.53342,4.71498,0.1,-3.3973,0.51951,5.32204,0,1.08257,0.44294,-2.0,-0.0422,0.57542,2.0,0.16872,-0.7505,-0.48261,0.17293,0.45702
5385.spec_hrs_snr1000.0.npy,5.81501,3.12004,-0.1,-3.99997,0.50005,31.88649,0,0.53663,-0.47724,-2.0,-0.3,-0.3,-1.5,-0.5,0.03177,-1.5,0.49222,-0.59599
3500.spec_hrs_snr1000.0.npy,5.86532,3.42378,-0.04401,-3.99996,0.50008,18.64223,0,0.54149,1.24997,0.61241,-0.3,1.0,-1.49942,0.18022,0.5,-1.03385,-0.5,-0.75
15770.spec_hrs_snr1000.0.npy,4.80145,3.9753,0.01955,0.29827,1.27275,3.94231,0,0.39857,0.62749,-1.0999,0.08858,1.0,1.58956,1.0,0.45046,1.0,1.0,-0.45112
15060.spec_hrs_snr1000.0.npy,7.50874,4.53559,-0.04068,0.01863,1.55087,38.67598,0,0.47137,0.74328,-0.15369,-0.12504,-0.12137,-0.46176,0.26832,-0.36592,-0.24875,0.00045,-0.02667
18740.spec_hrs_snr1000.0.npy,4.90946,2.29383,0.06247,-1.13757,1.0305,9.81969,0,1.99266,-0.11412,1.0,0.6054,0.75048,1.94995,-0.15167,0.5,-0.61979,-0.4198,-0.75
17492.spec_hrs_snr1000.0.npy,6.36541,4.45439,0.02679,0.3002,0.62441,5.16576,0,0.58744,0.15592,-0.77755,0.18979,0.00471,0.72098,-0.00673,-0.06454,0.23645,0.24806,0.20136
8748.spec_hrs_snr1000.0.npy,6.60781,4.12573,0.00694,-2.50247,1.75407,2.58571,0,-0.31327,-0.49994,-1.80545,0.11747,-0.3,0.81775,-0.09032,-0.04643,-0.30022,0.07717,0.13163
9546.spec_hrs_snr1000.0.npy,5.05169,3.31636,0.1,-3.99575,0.50297,3.98397,0,2.0,-0.49728,-2.0,0.36893,1.0,-1.5,-0.5,-0.88565,0.11031,0.08193,-0.75
10646.spec_hrs_snr1000.0.npy,5.09687,3.16554,-0.01447,0.16826,1.13346,18.632,0,0.32104,-0.11322,-1.2135,-0.09862,0.29008,0.39085,-0.11111,-0.18468,-0.32061,-0.19743,-0.75
5017.spec_hrs_snr1000.0.npy,6.04459,2.00216,-0.03787,-2.60781,1.7955,3.64933,0,-0.56235,0.51348,-1.43212,0.44038,0.5534,1.53904,0.47707,-0.44707,0.26533,0.50488,-0.74286
13545.spec_hrs_snr1000.0.npy,7.42951,4.23498,-0.1,-1.94572,1.24771,16.18452,0,0.43079,1.08024,0.33139,0.24935,0.41705,1.20689,0.18309,-0.51399,-0.40661,0.83309,0.18066
9043.spec_hrs_snr1000.0.npy,5.4277,2.45185,0.01767,-3.56973,1.34592,2.76749,0,0.06461,0.96327,-0.4311,0.37216,0.41771,0.68091,0.21377,0.1607,-0.67863,-0.40832,-0.40918
7337.spec_hrs_snr1000.0.npy,5.17313,3.27602,0.08635,-3.73154,1.40727,1.70629,0,0.71126,-0.16606,-1.18254,-0.01038,1.0,1.23587,0.07099,-0.83369,0.11989,-0.40295,-0.52069
17414.spec_hrs_snr1000.0.npy,4.76517,3.5,0.09349,-0.87813,0.5,58.47186,0,-0.81278,1.25,0.82522,0.04131,0.38079,1.85146,0.12494,-0.22413,0.4573,0.7122,-0.14459
15773.spec_hrs_snr1000.0.npy,5.05848,3.7929,-0.04059,-1.03544,1.2138,10.66907,0,-0.82069,-0.31305,-0.05677,-0.10478,0.5202,0.57988,-0.0235,-0.40411,0.68108,0.22924,-0.39572
13392.spec_hrs_snr1000.0.npy,4.76172,3.30402,0.08531,-1.73717,1.6465,5.65957,0,1.10928,0.68982,-1.54901,0.31178,1.0,1.48024,0.52918,0.19673,1.0,1.0,0.5
15058.spec_hrs_snr1000.0.npy,6.80436,3.67352,-0.08534,-1.54147,1.3349,9.79401,0,0.41999,0.79232,0.4202,0.56248,0.05498,0.46106,-0.03311,-0.32088,0.73585,0.0943,-0.34184
3441.spec_hrs_snr1000.0.npy,4.00006,1.14177,0.00912,-1.74919,1.34474,2.55378,0,0.68619,-0.02857,0.66755,0.1975,0.57069,0.78799,0.05695,-0.28194,-1.5,0.06369,0.5
14714.spec_hrs_snr1000.0.npy,6.86622,2.51434,-0.00169,-0.34004,1.53607,13.31938,0,0.20196,1.18338,-0.09173,-0.03347,0.04489,-0.29259,0.22323,-0.39748,-0.12403,0.14265,-0.2221
17602.spec_hrs_snr1000.0.npy,4.7794,2.28242,0.00629,-0.1174,0.93136,17.63255,0,-0.43827,0.31853,1.0,-0.07519,0.62453,1.27547,-0.14363,-0.286,0.80493,0.28157,-2e-05
17929.spec_hrs_snr1000.0.npy,5.26738,2.66065,-0.02121,-0.74079,1.3534,5.39646,0,-0.42689,0.55729,-0.1067,0.16285,-0.03469,0.02387,0.29158,-0.19613,-0.42587,0.55557,0.09666
12890.spec_hrs_snr1000.0.npy,7.91521,3.00931,-0.01488,-0.27556,1.54515,8.68065,0,-0.13437,0.77872,-0.0393,-0.00631,0.20287,-0.16521,0.07665,-0.16964,-0.06104,0.12675,-0.42044
3756.spec_hrs_snr1000.0.npy,5.93212,2.9724,-0.00316,-3.65758,2.35516,2.35316,0,2.0,1.2494,-0.26334,0.10104,0.04412,0.53224,0.40018,0.5,-0.76773,-0.10506,0.5
13227.spec_hrs_snr1000.0.npy,6.43756,4.02078,-0.09614,-1.24284,1.90154,16.14211,0,-0.38155,0.58992,0.34455,0.60964,0.25173,-0.2188,-0.07137,-0.8418,0.27169,0.36621,0.07481
11909.spec_hrs_snr1000.0.npy,6.04771,4.75759,0.1,-1.11488,1.04735,23.08853,0,1.03334,-0.49901,-0.0232,0.16622,0.43824,-1.38589,-0.00736,-0.26786,-0.40144,0.29663,-0.3837
11614.spec_hrs_snr1000.0.npy,5.0,3.00783,0.02671,-0.45124,1.70016,7.73526,0,0.22384,-0.01556,-0.43238,0.04438,0.06789,-0.31825,0.3802,-0.3201,0.49753,-0.02104,0.16981
