#wavelength_payne flux_payne
3940.002771 0.974941
3940.017222 0.975024
3940.031672 0.975119
3940.046122 0.975216
3940.060573 0.975321
3940.075023 0.975429
3940.089473 0.975539
3940.103924 0.975650
3940.118375 0.975763
3940.132825 0.975876
3940.147276 0.975984
3940.161727 0.976081
3940.176177 0.976172
3940.190628 0.976252
3940.205079 0.976299
3940.219530 0.976315
3940.233981 0.976321
3940.248432 0.976323
3940.262883 0.976315
3940.277334 0.976303
3940.291786 0.976301
3940.306237 0.976325
3940.320688 0.976371
3940.335139 0.976427
3940.349591 0.976517
3940.364042 0.976666
3940.378494 0.976838
3940.392945 0.977015
3940.407397 0.977202
3940.421849 0.977396
3940.436301 0.977589
3940.450752 0.977772
3940.465204 0.977937
3940.479656 0.978096
3940.494108 0.978224
3940.508560 0.978276
3940.523012 0.978278
3940.537464 0.978224
3940.551916 0.977966
3940.566369 0.977439
3940.580821 0.976810
3940.595273 0.976092
3940.609726 0.975164
3940.624178 0.974113
3940.638630 0.972724
3940.653083 0.970169
3940.667536 0.966276
3940.681988 0.961915
3940.696441 0.957176
3940.710894 0.951592
3940.725346 0.945581
3940.739799 0.939276
3940.754252 0.932091
3940.768705 0.924000
3940.783158 0.915633
3940.797611 0.908123
3940.812064 0.902416
3940.826517 0.897532
3940.840971 0.893107
3940.855424 0.890044
3940.869877 0.888237
3940.884331 0.886989
3940.898784 0.887724
3940.913238 0.892047
3940.927691 0.897933
3940.942145 0.904036
3940.956598 0.910729
3940.971052 0.917895
3940.985506 0.925167
3940.999960 0.932362
3941.014414 0.939434
3941.028867 0.946453
3941.043321 0.952688
3941.057775 0.956917
3941.072229 0.959704
3941.086684 0.962065
3941.101138 0.963801
3941.115592 0.964641
3941.130046 0.965126
3941.144501 0.965306
3941.158955 0.964755
3941.173409 0.963747
3941.187864 0.962702
3941.202318 0.961788
3941.216773 0.961038
3941.231228 0.960347
3941.245682 0.959805
3941.260137 0.959601
3941.274592 0.959585
3941.289047 0.959695
3941.303502 0.960183
3941.317957 0.961092
3941.332412 0.962145
3941.346867 0.963210
3941.361322 0.964299
3941.375777 0.965401
3941.390232 0.966480
3941.404688 0.967484
3941.419143 0.968417
3941.433598 0.969321
3941.448054 0.970098
3941.462509 0.970622
3941.476965 0.971033
3941.491421 0.971425
3941.505876 0.971762
3941.520332 0.972050
3941.534788 0.972320
3941.549244 0.972549
3941.563699 0.972705
3941.578155 0.972830
3941.592611 0.972876
3941.607067 0.972712
3941.621523 0.972384
3941.635980 0.972023
3941.650436 0.971692
3941.664892 0.971405
3941.679348 0.971136
3941.693805 0.970882
3941.708261 0.970668
3941.722718 0.970479
3941.737174 0.970361
3941.751631 0.970534
3941.766087 0.971101
3941.780544 0.971819
3941.795001 0.972553
3941.809457 0.973323
3941.823914 0.974115
3941.838371 0.974930
3941.852828 0.975824
3941.867285 0.976814
3941.881742 0.977838
3941.896199 0.978772
3941.910656 0.979504
3941.925113 0.980132
3941.939571 0.980732
3941.954028 0.981259
3941.968485 0.981711
3941.982943 0.982137
3941.997400 0.982464
3942.011858 0.982577
3942.026315 0.982592
3942.040773 0.982587
3942.055231 0.982524
3942.069688 0.982407
3942.084146 0.982270
3942.098604 0.982088
3942.113062 0.981823
3942.127520 0.981520
3942.141978 0.981154
3942.156436 0.980614
3942.170894 0.979934
3942.185352 0.979180
3942.199810 0.978170
3942.214269 0.976743
3942.228727 0.975142
3942.243185 0.973381
3942.257644 0.971214
3942.272102 0.968751
3942.286561 0.966146
3942.301019 0.963134
3942.315478 0.959535
3942.329937 0.955703
3942.344395 0.952036
3942.358854 0.948769
3942.373313 0.945762
3942.387772 0.942966
3942.402231 0.940852
3942.416690 0.939593
3942.431149 0.938650
3942.445608 0.938432
3942.460067 0.939878
3942.474526 0.942248
3942.488986 0.944798
3942.503445 0.947652
3942.517904 0.950847
3942.532364 0.954159
3942.546823 0.957386
3942.561283 0.960423
3942.575742 0.963368
3942.590202 0.966081
3942.604662 0.968072
3942.619121 0.969344
3942.633581 0.970374
3942.648041 0.971112
3942.662501 0.971273
3942.676961 0.971176
3942.691421 0.970986
3942.705881 0.970534
3942.720341 0.969854
3942.734801 0.969138
3942.749261 0.968645
3942.763722 0.968540
3942.778182 0.968602
3942.792642 0.968797
3942.807103 0.969349
3942.821563 0.970175
3942.836024 0.971088
3942.850484 0.972134
3942.864945 0.973385
3942.879406 0.974720
3942.893867 0.975996
3942.908327 0.977128
3942.922788 0.978164
3942.937249 0.979126
3942.951710 0.979844
3942.966171 0.980238
3942.980632 0.980507
3942.995093 0.980690
3943.009555 0.980669
3943.024016 0.980528
3943.038477 0.980353
3943.052938 0.980109
3943.067400 0.979785
3943.081861 0.979431
3943.096323 0.979118
3943.110784 0.978896
3943.125246 0.978721
3943.139707 0.978532
3943.154169 0.978288
3943.168631 0.977986
3943.183093 0.977665
3943.197555 0.977314
3943.212017 0.976900
3943.226479 0.976457
3943.240941 0.976022
3943.255403 0.975615
3943.269865 0.975232
3943.284327 0.974863
3943.298789 0.974574
3943.313251 0.974431
3943.327714 0.974352
3943.342176 0.974352
3943.356639 0.974568
3943.371101 0.974961
3943.385564 0.975410
3943.400026 0.975932
3943.414489 0.976569
3943.428952 0.977255
3943.443414 0.977904
3943.457877 0.978464
3943.472340 0.978961
3943.486803 0.979421
3943.501266 0.979765
3943.515729 0.979947
3943.530192 0.980066
3943.544655 0.980010
3943.559118 0.979537
3943.573582 0.978803
3943.588045 0.977975
3943.602508 0.976929
3943.616972 0.975612
3943.631435 0.974196
3943.645899 0.972298
3943.660362 0.969307
3943.674826 0.965731
3943.689290 0.961786
3943.703753 0.956748
3943.718217 0.950533
3943.732681 0.943924
3943.747145 0.936871
3943.761609 0.928850
3943.776073 0.920376
3943.790537 0.910920
3943.805001 0.898476
3943.819465 0.883172
3943.833929 0.867010
3943.848393 0.851000
3943.862858 0.835281
3943.877322 0.819691
3943.891787 0.804183
3943.906251 0.788898
3943.920716 0.773799
3943.935180 0.759291
3943.949645 0.748679
3943.964109 0.744513
3943.978574 0.743067
3943.993039 0.742694
3944.007504 0.745099
3944.021969 0.749547
3944.036434 0.755122
3944.050899 0.764255
3944.065364 0.778587
3944.079829 0.795001
3944.094294 0.811270
3944.108759 0.827188
3944.123224 0.842875
3944.137690 0.858481
3944.152155 0.873910
3944.166620 0.889117
3944.181086 0.904241
3944.195551 0.917875
3944.210017 0.928077
3944.224483 0.936362
3944.238948 0.944199
3944.253414 0.951150
3944.267880 0.957110
3944.282346 0.962729
3944.296812 0.967819
3944.311278 0.971743
3944.325744 0.975096
3944.340210 0.978150
3944.354676 0.980329
3944.369142 0.981636
3944.383608 0.982664
