# wavelength_payne flux_payne
3934.775377 0.521787
3934.789808 0.528501
3934.804239 0.535143
3934.818670 0.541726
3934.833102 0.548248
3934.847533 0.554718
3934.861964 0.561133
3934.876395 0.567475
3934.890827 0.573733
3934.905258 0.579902
3934.919690 0.585962
3934.934121 0.591906
3934.948553 0.597742
3934.962985 0.603491
3934.977416 0.609166
3934.991848 0.614770
3935.006280 0.620313
3935.020712 0.625776
3935.035144 0.631138
3935.049576 0.636390
3935.064008 0.641514
3935.078440 0.646494
3935.092872 0.651331
3935.107304 0.656043
3935.121736 0.660646
3935.136169 0.665138
3935.150601 0.669528
3935.165034 0.673820
3935.179466 0.678009
3935.193898 0.682090
3935.208331 0.686076
3935.222764 0.689990
3935.237196 0.693838
3935.251629 0.697640
3935.266062 0.701418
3935.280495 0.705173
3935.294928 0.708903
3935.309360 0.712575
3935.323793 0.716115
3935.338227 0.719484
3935.352660 0.722666
3935.367093 0.725602
3935.381526 0.728265
3935.395959 0.730665
3935.410393 0.732771
3935.424826 0.734493
3935.439259 0.735766
3935.453693 0.736588
3935.468126 0.736952
3935.482560 0.736861
3935.496993 0.736369
3935.511427 0.735590
3935.525861 0.734604
3935.540295 0.733415
3935.554728 0.732055
3935.569162 0.730647
3935.583596 0.729226
3935.598030 0.727826
3935.612464 0.726514
3935.626898 0.725341
3935.641333 0.724310
3935.655767 0.723411
3935.670201 0.722651
3935.684635 0.722048
3935.699070 0.721599
3935.713504 0.721333
3935.727939 0.721288
3935.742373 0.721482
3935.756808 0.721908
3935.771242 0.722558
3935.785677 0.723437
3935.800112 0.724515
3935.814547 0.725798
3935.828981 0.727325
3935.843416 0.729120
3935.857851 0.731219
3935.872286 0.733737
3935.886721 0.736734
3935.901156 0.740201
3935.915592 0.744138
3935.930027 0.748554
3935.944462 0.753423
3935.958897 0.758705
3935.973333 0.764425
3935.987768 0.770646
3936.002204 0.777359
3936.016639 0.784393
3936.031075 0.791642
3936.045510 0.799002
3936.059946 0.806297
3936.074382 0.813342
3936.088818 0.820129
3936.103253 0.826687
3936.117689 0.832820
3936.132125 0.838388
3936.146561 0.843330
3936.160997 0.847639
3936.175433 0.851340
3936.189870 0.854495
3936.204306 0.857243
3936.218742 0.859783
3936.233178 0.862097
3936.247615 0.864183
3936.262051 0.866064
3936.276488 0.867763
3936.290924 0.869297
3936.305361 0.870708
3936.319797 0.872076
3936.334234 0.873403
3936.348671 0.874697
3936.363108 0.875964
3936.377545 0.877203
3936.391981 0.878407
3936.406418 0.879576
3936.420855 0.880708
3936.435293 0.881803
3936.449730 0.882866
3936.464167 0.883912
3936.478604 0.884948
3936.493041 0.885976
3936.507479 0.887000
3936.521916 0.888020
3936.536353 0.889034
3936.550791 0.890041
3936.565228 0.891026
3936.579666 0.891981
3936.594104 0.892901
3936.608541 0.893789
3936.622979 0.894649
3936.637417 0.895487
3936.651855 0.896311
3936.666293 0.897127
3936.680731 0.897933
3936.695169 0.898725
3936.709607 0.899504
3936.724045 0.900280
3936.738483 0.901060
3936.752921 0.901852
3936.767360 0.902659
3936.781798 0.903478
3936.796236 0.904302
3936.810675 0.905123
3936.825113 0.905934
3936.839552 0.906738
3936.853990 0.907537
3936.868429 0.908336
3936.882868 0.909134
3936.897307 0.909930
3936.911745 0.910719
3936.926184 0.911496
3936.940623 0.912257
3936.955062 0.913002
3936.969501 0.913721
3936.983940 0.914407
3936.998379 0.915062
3937.012819 0.915679
3937.027258 0.916250
3937.041697 0.916771
3937.056136 0.917238
3937.070576 0.917597
3937.085015 0.917818
3937.099455 0.917890
3937.113894 0.917801
3937.128334 0.917545
3937.142774 0.917135
3937.157213 0.916596
3937.171653 0.915945
3937.186093 0.915166
3937.200533 0.914261
3937.214973 0.913306
3937.229413 0.912364
3937.243853 0.911476
3937.258293 0.910703
3937.272733 0.910138
3937.287173 0.909794
3937.301613 0.909655
3937.316054 0.909776
3937.330494 0.910214
3937.344934 0.910994
3937.359375 0.912093
3937.373815 0.913464
3937.388256 0.915076
3937.402696 0.916863
3937.417137 0.918695
3937.431578 0.920547
3937.446019 0.922412
3937.460459 0.924226
3937.474900 0.925883
3937.489341 0.927328
3937.503782 0.928535
3937.518223 0.929459
3937.532664 0.930099
3937.547106 0.930490
3937.561547 0.930693
3937.575988 0.930740
3937.590429 0.930622
3937.604871 0.930356
3937.619312 0.930031
3937.633753 0.929684
3937.648195 0.929350
3937.662637 0.929102
3937.677078 0.928991
3937.691520 0.929019
3937.705962 0.929178
3937.720403 0.929488
3937.734845 0.929975
3937.749287 0.930639
3937.763729 0.931456
3937.778171 0.932405
3937.792613 0.933467
3937.807055 0.934598
3937.821497 0.935728
3937.835939 0.936849
3937.850382 0.937955
3937.864824 0.939004
3937.879266 0.939968
3937.893709 0.940835
3937.908151 0.941600
3937.922594 0.942252
3937.937036 0.942792
3937.951479 0.943236
3937.965922 0.943609
3937.980364 0.943917
3937.994807 0.944164
3938.009250 0.944343
3938.023693 0.944420
3938.038136 0.944370
3938.052579 0.944188
3938.067022 0.943811
3938.081465 0.943202
3938.095908 0.942360
3938.110351 0.941286
3938.124795 0.939974
3938.139238 0.938417
3938.153681 0.936643
3938.168125 0.934644
3938.182568 0.932395
3938.197012 0.929894
